"case","biden_therm","trump_therm","age","race6","income","lostjob","econperc","pid7","abortion","female","religion"
200015,0,100,46,3,21,1,0.5,6,2,"not_female","Other religion"
200022,0,0,37,4,13,1,0.5,3,7,"female","Not religious"
200039,65,0,40,1,17,0,0,2,7,"female","Other religion"
200046,70,15,41,4,7,0,0,5,4,"not_female","Roman Catholic"
200053,15,85,72,5,22,0,0,3,2,"not_female","Not religious"
200060,85,0,71,1,3,1,0.5,2,4,"female","Not religious"
200084,50,75,37,1,4,1,0.5,5,3,"female","Evangelical Protestant"
200091,50,100,45,1,3,1,0.5,5,4,"female","Evangelical Protestant"
200107,85,0,70,1,10,0,0.5,3,6,"female","Evangelical Protestant"
200114,85,0,43,3,11,1,0,1,4,"not_female","Not religious"
200121,100,0,37,3,9,0,0.5,0,7,"female","Other Christian"
200138,60,0,55,1,18,0,0.5,1,4,"not_female","Other Christian"
200152,0,100,30,1,1,1,0.5,6,4,"female","Other Christian"
200169,85,0,38,4,21,1,0,1,6,"not_female","Other religion"
200176,60,40,41,2,3,1,0.5,2,4,"female","Undifferentiated Protestant"
200183,0,100,66,3,7,1,0,4,4,"not_female","Roman Catholic"
200190,60,0,54,1,22,1,0,2,4,"not_female","Roman Catholic"
200206,85,0,55,1,20,0,0.25,0,6,"not_female","Roman Catholic"
200220,85,15,62,1,10,0,0,0,7,"female","Roman Catholic"
200244,70,15,80,1,5,1,0.5,1,4,"female","Roman Catholic"
200268,0,95,31,3,12,1,0,6,4,"not_female","Roman Catholic"
200275,75,0,80,3,6,0,0,0,4,"female","Roman Catholic"
200282,40,5,24,1,21,1,0,2,7,"not_female","Not religious"
200305,0,100,55,1,15,1,1,6,2,"not_female","Other Christian"
200312,0,15,59,3,6,0,0.5,1,5,"female","Roman Catholic"
200329,85,0,73,1,5,1,0,0,7,"not_female","Mainline Protestant"
200343,0,100,72,1,5,1,0.25,4,7,"female","Undifferentiated Protestant"
200374,50,60,50,1,20,1,0.5,4,6,"not_female","Roman Catholic"
200381,70,NA,66,1,22,1,0,5,6,"not_female","Roman Catholic"
200404,70,0,41,3,15,1,0,0,7,"not_female","Not religious"
200411,0,85,52,4,1,0,0.5,3,2,"female","Other Christian"
200435,0,0,45,5,13,0,0,3,4,"not_female",NA
200442,85,0,46,1,4,1,0,0,7,"female","Mainline Protestant"
200459,0,100,66,1,20,0,0.75,6,4,"not_female","Mainline Protestant"
200466,85,0,60,1,20,0,0,1,7,"female","Roman Catholic"
200473,0,85,73,1,10,0,0,6,7,"female","Mainline Protestant"
200480,60,15,71,2,9,0,0.25,0,1,"female","Evangelical Protestant"
200497,40,0,28,1,3,0,0.25,2,7,"female","Not religious"
200503,85,0,73,1,8,0,0,0,7,"female","Not religious"
200510,0,100,NA,1,NA,0,0.25,6,4,"not_female","Mainline Protestant"
200527,15,70,37,1,19,0,1,6,4,"female","Undifferentiated Protestant"
200534,80,5,56,2,4,1,0,0,4,"female","Mainline Protestant"
200541,0,100,48,1,10,0,0.75,6,1,"not_female","Undifferentiated Protestant"
200558,0,98,53,1,19,1,0.5,6,4,"female","Evangelical Protestant"
200565,50,85,72,1,22,0,0.25,4,1,"female","Not religious"
200589,0,100,55,1,1,0,1,6,4,"not_female","Mainline Protestant"
200596,85,0,79,1,10,0,0,0,6,"not_female","Roman Catholic"
200602,75,0,38,1,21,0,0.25,2,6,"not_female","Not religious"
200626,15,80,42,4,12,0,0.75,6,4,"female","Undifferentiated Protestant"
200633,100,0,70,1,15,1,0,2,7,"not_female","Roman Catholic"
200640,100,15,50,5,NA,1,0,0,6,"female","Other Christian"
200671,100,0,50,2,10,0,0,0,7,"female","Other religion"
200688,100,85,27,1,1,1,0.75,3,5,"female","Evangelical Protestant"
200695,0,100,62,1,1,0,0.5,6,7,"not_female","Evangelical Protestant"
200701,0,85,51,NA,NA,0,1,3,4,"female","Roman Catholic"
200718,30,85,60,1,15,1,0.75,6,3,"not_female","Mainline Protestant"
200725,75,15,65,1,9,0,0.5,0,2,"female","Roman Catholic"
200732,85,0,NA,1,21,0,0,2,7,"not_female","Jewish"
200749,60,30,48,1,9,0,0.25,5,4,"not_female","Not religious"
200756,15,85,55,1,13,0,0.75,4,4,"not_female","Evangelical Protestant"
