"date_of_interest","CASE_COUNT"
2021-11-12,1028
2021-11-13,614
2021-11-14,687
2021-11-15,1263
2021-11-16,1272
2021-11-17,1329
2021-11-18,1310
2021-11-19,1184
2021-11-20,827
2021-11-21,840
2021-11-22,1530
2021-11-23,1380
2021-11-24,1416
2021-11-25,531
2021-11-26,1171
2021-11-27,972
2021-11-28,1060
2021-11-29,2327
2021-11-30,2006
2021-12-01,2180
2021-12-02,2108
2021-12-03,1893
2021-12-04,1321
2021-12-05,1404
2021-12-06,2798
2021-12-07,2923
2021-12-08,3136
2021-12-09,3022
2021-12-10,3089
2021-12-11,2159
2021-12-12,2795
2021-12-13,7529
2021-12-14,10879
2021-12-15,13168
2021-12-16,13870
2021-12-17,13550
2021-12-18,9948
2021-12-19,10565
2021-12-20,27964
