"cname","p_polity2","mad_gdppc","wdi_litrad","wdi_araland"
"Afghanistan",-1,1934.55505371094,37.266040802002,11.9405727386475
"Albania",9,11104.166015625,98.1411514282227,22.262773513794
"Algeria",2,14228.025390625,81.4078369140625,3.15106344223023
"Andorra",NA,NA,NA,1.70212769508362
"Angola",-2,7771.44189453125,72.2799987792969,3.93037629127502
"Antigua and Barbuda",NA,NA,NA,9.09090900421143
"Azerbaijan",-7,16628.0546875,99.7959823608398,25.3587245941162
"Argentina",9,18556.3828125,99.0038681030273,11.9241714477539
"Australia",10,49830.80078125,NA,3.97463870048523
"Austria",10,42988.0703125,NA,16.0631370544434
"Bahamas (the)",NA,NA,NA,0.799200773239136
"Bahrain",-10,39498.765625,NA,2.04342269897461
"Bangladesh",-6,4099.2529296875,74.6844635009766,61.2045783996582
"Armenia",7,11454.4248046875,99.7886123657227,15.6234636306763
"Barbados",NA,11995.1865234375,NA,16.2790699005127
"Belgium",8,39756.203125,NA,28.311954498291
"Bhutan",7,NA,70.9499969482422,2.464604139328
"Bolivia (Plurinational State of)",7,6695.7744140625,93.8525619506836,4.19089841842651
"Bosnia and Herzegovina",NA,10460.5205078125,98.0999984741211,19.82421875
"Botswana",8,15842.1298828125,NA,0.458772242069244
"Brazil",8,14033.5654296875,93.2275009155273,6.67157983779907
"Belize",NA,NA,NA,3.94563794136047
"Solomon Islands",8,NA,NA,0.714540898799896
"Brunei Darussalam",NA,NA,97.214111328125,0.759013295173645
"Bulgaria",9,18444.259765625,98.4199981689453,32.0191612243652
"Myanmar",8,5838.21728515625,89.0699462890625,16.8383636474609
"Burundi",-1,651.35888671875,74.7099990844727,46.7289733886719
"Belarus",-7,18727.318359375,99.8740005493164,28.1477108001709
"Cambodia",-4,3628.56103515625,83.9100036621094,21.9578514099121
"Cameroon",-4,2888.0458984375,78.2300033569336,13.1158638000488
"Canada",10,44868.7421875,NA,4.31070327758789
"Cabo Verde",10,6831.2158203125,90.7799987792969,12.4069480895996
"Central African Republic (the)",6,623.488891601562,37.4900016784668,2.88933825492859
"Sri Lanka",6,11662.90625,92.2529602050781,22.1706066131592
"Chad",-2,2046.36315917969,26.7600002288818,4.12960624694824
"Chile",10,22104.765625,97.0400009155273,1.570880651474
"China",-7,13101.7060546875,97.1500015258789,12.6767072677612
"Taiwan (Province of China)",10,44663.86328125,NA,NA
"Colombia",7,13545.0498046875,95.249267578125,5.38170337677002
"Comoros (the)",-3,1724.42065429688,58.8170204162598,35.4648056030273
"Congo (the)",-4,5714.591796875,80.2987594604492,1.61054170131683
"Congo (the Democratic Republic of the)",-3,859.381713867188,80.0199966430664,6.03427362442017
"Costa Rica",10,14686.25390625,97.8637924194336,4.98433208465576
"Croatia",9,22012.314453125,99.4499969482422,14.7058820724487
"Cuba",-5,8325.630859375,99.6731109619141,28.0211944580078
"Cyprus",10,27184.416015625,99.3600006103516,10.417911529541
"Czechia",9,30748.5078125,NA,32.179988861084
"Benin",7,2220.17651367188,42.3624000549316,24.8315010070801
"Denmark",10,46312.34375,NA,59.8983001708984
"Dominica",NA,9021.173828125,NA,8
"Dominican Republic (the)",7,15912.3994140625,95.1699981689453,18.1535911560059
"Ecuador",5,10638.8251953125,93.6260986328125,3.98212265968323
"El Salvador",8,8598.1982421875,89.1379165649414,34.7972984313965
"Equatorial Guinea",-6,28528.953125,NA,4.9190731048584
"Ethiopia",1,1838.49035644531,51.7711791992188,14.3469505310059
"Eritrea",-7,NA,76.5705184936523,5.69868612289429
"Estonia",9,27408.6640625,99.870002746582,16.1403503417969
"Fiji",2,NA,NA,4.14887809753418
"Finland",10,38896.69921875,NA,7.38656949996948
"France",10,38515.91796875,NA,32.9920425415039
"Djibouti",3,3295.68139648438,NA,0.0862812772393227
"Gabon",3,17613.556640625,84.6671600341797,1.26130318641663
"Georgia",7,11984.9052734375,99.5584411621094,4.41790199279785
"Gambia (the)",4,1882.23986816406,58.060001373291,43.4782600402832
"Germany",10,46177.6171875,NA,33.5270042419434
"Ghana",8,4267.06689453125,80.379997253418,11.2393426895142
"Kiribati",NA,NA,NA,2.46913576126099
"Greece",10,23450.765625,97.9359512329102,16.5394134521484
"Grenada",NA,NA,NA,8.82352924346924
"Guatemala",8,7402.11474609375,80.810676574707,8.04404640197754
"Guinea",4,1606.46655273438,39.6176795959473,12.6159858703613
"Guyana",7,NA,88.8499984741211,2.1336042881012
"Haiti",5,1729.04321289062,61.691349029541,38.8243827819824
"Honduras",7,5041.63525390625,88.5074310302734,9.11609649658203
"Hungary",10,25622.8125,99.0999984741211,47.3044052124023
"Iceland",NA,43438.54296875,NA,1.20003962516785
"India",9,6806.49853515625,74.3729934692383,52.2566909790039
"Indonesia",9,11851.7373046875,95.9990081787109,14.0078477859497
"Iran (Islamic Republic of)",-7,17011.3046875,88.7399978637695,9.64252662658691
"Iraq",6,12835.8125,85.5999984741211,11.5173406600952
"Ireland",10,64684.30078125,NA,6.43054151535034
"Israel",6,32954.76953125,NA,17.4676532745361
"Italy",10,34364.16796875,99.3490982055664,23.3810806274414
"Côte d'Ivoire",4,3713.6435546875,89.8934173583984,11.0062894821167
"Jamaica",9,7272.98046875,NA,11.0803327560425
"Japan",10,38673.80859375,NA,11.3141288757324
"Kazakhstan",-6,25307.5546875,99.8000030517578,10.8820610046387
"Jordan",-3,11506.337890625,98.2271118164062,2.41908240318298
"Kenya",9,3377.47045898438,81.5349731445312,10.1908140182495
"Korea (the Democratic People's Republic of)",-10,1596.35168457031,99.9981918334961,18.9353046417236
"Korea (the Republic of)",8,37927.609375,98.8000030517578,13.9754095077515
"Kuwait",-7,65520.73828125,96.4575424194336,0.448933780193329
"Kyrgyzstan",8,5176.98828125,99.5999984741211,6.71220016479492
"Lao People's Democratic Republic (the)",-7,6450.90673828125,87.0699996948242,5.61351823806763
"Lebanon",6,12558.966796875,95.3000030517578,13.2258062362671
"Lesotho",8,2731.46606445312,81.0199966430664,4.54545450210571
"Latvia",8,24312.677734375,99.8893127441406,21.1965866088867
"Liberia",7,818.421081542969,48.3013610839844,5.19103002548218
"Libya",0,15013.3125,NA,0.977528214454651
"Liechtenstein",NA,NA,NA,9.25
"Lithuania",10,27370.5546875,99.8300018310547,35.322582244873
"Luxembourg",10,57427.5,NA,24.0667953491211
"Madagascar",6,1427.60034179688,76.6796798706055,5.15641117095947
"Malawi",6,1116.64025878906,67.3099975585938,38.1841316223145
"Malaysia",7,24842.35546875,94.9711303710938,2.51407694816589
"Maldives",NA,NA,97.8600006103516,13
"Mali",5,1667.29504394531,30.7614097595215,5.25409984588623
"Malta",NA,32028.912109375,94.5031890869141,28.34375
"Mauritania",-2,3457.51489257812,66.9599990844727,0.388085752725601
"Mauritius",10,20138.572265625,92.1500015258789,36.9458122253418
"Mexico",8,16494.078125,95.2478485107422,9.97968101501465
"Monaco",NA,NA,NA,NA
"Mongolia",10,13382.5419921875,99.1832733154297,0.853294730186462
"Moldova (the Republic of)",9,6746.728515625,99.5999984741211,51.3867645263672
"Montenegro",9,19504.158203125,98.8471832275391,0.669144988059998
"Morocco",-4,8451.1357421875,73.7500076293945,15.4581308364868
"Mozambique",5,1132.77087402344,63.4199981689453,7.18482160568237
"Oman",-8,36477.63671875,95.6515274047852,0.251502424478531
"Namibia",6,9043.1201171875,91.5272674560547,0.971711039543152
"Nauru",NA,NA,NA,NA
"Nepal",7,2727.423828125,67.9084320068359,14.7450294494629
"Netherlands (the)",10,47474.109375,NA,30.0296993255615
"Vanuatu",NA,NA,87.5063095092773,1.64068913459778
"New Zealand",10,35336.13671875,NA,2.07360148429871
